Jenis Tool,Jumlah Objek,gemini-2.5-flash,,,gemini-3.1-pro-preview,,,qwen3.5:27b,,
,,keberhasilan,rata-rata latensi,rata-rata total token,keberhasilan,rata-rata latensi,rata-rata total token,keberhasilan,rata-rata latensi,rata-rata total token
mudah,1,2/3,8.88,"2,099.00",3/3,19.91,"3,732.00",2/3,36.64,"5,383.00"
sedang,3,1/3,8.22,"2,132.00",3/3,20.32,"3,722.00",3/3,47.83,"6,194.00"
sulit,6,3/3,11.38,"2,283.00",3/3,21.68,"3,804.00",1/3,38.34,"5,413.00"
mustahil,0,3/3,09.02,"1,782.00",3/3,17.68,"2,988.00",3/3,27.13,"4,401.00"
,,,,,,,,,,
Rata-rata,,,9.38,"2,074.00",,19.90,"3,561.50",,37.49,"5,347.75"
Persentase,,85.19%,,,100.00%,,,85.19%,,
